"","x","y","Date","Ignitions","AR","AT","AVPD","Area"
"3242",149.1,-35.3,"2012_02",0,142.399993896484,24.8965511322021,1.67930150032043,0.38
"3243",149.1,-35.3,"2012_03",0,228.600006103516,22.1000003814697,1.35996675491333,0.38
"3244",149.1,-35.3,"2012_04",0,34.2999992370605,20.1499996185303,1.19743824005127,0.38
"3245",149.1,-35.3,"2012_05",0,24.8999996185303,15.4612903594971,0.963953912258148,0.38
"3246",149.1,-35.3,"2012_06",0,47.7999992370605,12.7133331298828,0.662541747093201,0.38
"3247",149.1,-35.3,"2012_07",0,42.0999984741211,12.7419357299805,0.744702577590942,0.38
"3248",149.1,-35.3,"2012_08",0,45.7000007629395,13.3032255172729,0.858892142772675,0.38
"3249",149.1,-35.3,"2012_09",0,45.4000015258789,17.8166675567627,1.2199592590332,0.38
"3250",149.1,-35.3,"2012_10",0,54.2999992370605,20.8999996185303,1.60470628738403,0.38
"3251",149.1,-35.3,"2012_11",1,34,25.4166660308838,2.07648396492004,0.38
"3252",149.1,-35.3,"2012_12",0,35.7999992370605,27.4935474395752,2.42462420463562,0.38
"3253",149.1,-35.3,"2013_01",1,70.5,32.2967758178711,3.48286628723145,0.38
"3254",149.1,-35.3,"2013_02",2,61.7999992370605,27.3428573608398,2.15558242797852,0.38
"3255",149.1,-35.3,"2013_03",0,31.2000007629395,25.432258605957,1.96825051307678,0.38
"3256",149.1,-35.3,"2013_04",0,10.3999996185303,21.9133338928223,1.58236229419708,0.38
"3257",149.1,-35.3,"2013_05",1,13,16.958065032959,1.09439182281494,0.38
"3258",149.1,-35.3,"2013_06",0,80.8000030517578,13.4333333969116,0.710453867912292,0.38
"3259",149.1,-35.3,"2013_07",0,52.0999984741211,13.0580644607544,0.678681552410126,0.38
"3260",149.1,-35.3,"2013_08",0,29.2999992370605,14.3580646514893,0.842177867889404,0.38
"3261",149.1,-35.3,"2013_09",0,78.5999984741211,19.6033325195312,1.34785091876984,0.38
"3262",149.1,-35.3,"2013_10",0,12.6999998092651,21.7258071899414,1.7924702167511,0.38
"3263",149.1,-35.3,"2013_11",0,95.3000030517578,23.7566661834717,1.98393726348877,0.38
"3264",149.1,-35.3,"2013_12",0,22.3999996185303,28.6032257080078,2.77370738983154,0.38
