"x";"y";"Month";"MR";"MT";"MV"
149,45;-35,1;"02";NA;NA;NA
149,45;-35,1;"03";NA;NA;NA
149,45;-35,1;"04";NA;NA;NA
149,45;-35,1;"05";NA;NA;NA
149,45;-35,1;"06";NA;NA;NA
149,45;-35,1;"07";NA;NA;NA
149,45;-35,1;"08";NA;NA;NA
149,45;-35,1;"09";NA;NA;NA
149,45;-35,1;"10";NA;NA;NA
149,45;-35,1;"11";NA;NA;NA
149,45;-35,1;"12";NA;NA;NA
148,7;-35,15;"01";NA;NA;NA
148,7;-35,15;"02";NA;NA;NA
148,7;-35,15;"03";NA;NA;NA
148,7;-35,15;"04";NA;NA;NA
148,7;-35,15;"05";NA;NA;NA
148,7;-35,15;"06";NA;NA;NA
148,7;-35,15;"07";NA;NA;NA
148,7;-35,15;"08";NA;NA;NA
148,7;-35,15;"09";NA;NA;NA
148,7;-35,15;"10";NA;NA;NA
148,7;-35,15;"11";NA;NA;NA
148,7;-35,15;"12";NA;NA;NA
148,75;-35,15;"01";NA;NA;NA
148,75;-35,15;"02";NA;NA;NA
148,75;-35,15;"03";NA;NA;NA
148,75;-35,15;"04";NA;NA;NA
148,75;-35,15;"05";NA;NA;NA
148,75;-35,15;"06";NA;NA;NA
148,75;-35,15;"07";NA;NA;NA
148,75;-35,15;"08";NA;NA;NA
148,75;-35,15;"09";NA;NA;NA
148,75;-35,15;"10";NA;NA;NA
148,75;-35,15;"11";NA;NA;NA
148,75;-35,15;"12";NA;NA;NA
148,8;-35,15;"01";NA;NA;NA
148,8;-35,15;"02";NA;NA;NA
148,8;-35,15;"03";NA;NA;NA
148,8;-35,15;"04";NA;NA;NA
148,8;-35,15;"05";NA;NA;NA
148,8;-35,15;"06";NA;NA;NA
148,8;-35,15;"07";NA;NA;NA
148,8;-35,15;"08";NA;NA;NA
148,8;-35,15;"09";NA;NA;NA
148,8;-35,15;"10";NA;NA;NA
148,8;-35,15;"11";NA;NA;NA
148,8;-35,15;"12";NA;NA;NA
148,85;-35,15;"01";NA;NA;NA
148,85;-35,15;"02";NA;NA;NA
148,85;-35,15;"03";NA;NA;NA
148,85;-35,15;"04";NA;NA;NA
148,85;-35,15;"05";NA;NA;NA
148,85;-35,15;"06";NA;NA;NA
148,85;-35,15;"07";NA;NA;NA
148,85;-35,15;"08";NA;NA;NA
148,85;-35,15;"09";NA;NA;NA
148,85;-35,15;"10";NA;NA;NA
148,85;-35,15;"11";NA;NA;NA
148,85;-35,15;"12";NA;NA;NA
148,9;-35,15;"01";NA;NA;NA
148,9;-35,15;"02";NA;NA;NA
148,9;-35,15;"03";NA;NA;NA
148,9;-35,15;"04";NA;NA;NA
148,9;-35,15;"05";NA;NA;NA
148,9;-35,15;"06";NA;NA;NA
148,9;-35,15;"07";NA;NA;NA
148,9;-35,15;"08";NA;NA;NA
148,9;-35,15;"09";NA;NA;NA
148,9;-35,15;"10";NA;NA;NA
148,9;-35,15;"11";NA;NA;NA
148,9;-35,15;"12";NA;NA;NA
148,95;-35,15;"01";NA;NA;NA
148,95;-35,15;"02";NA;NA;NA
148,95;-35,15;"03";NA;NA;NA
148,95;-35,15;"04";NA;NA;NA
